"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2.4k";;;
2;"R4,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"47K 0.6W";;;
3;"J4";"TerminalBlock_bornier-2_P5.08mm";1;"HEATER_CONN";;;
4;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"AC_CONN";;;
5;"J7";"PinSocket_1x08_P2.54mm_Horizontal";1;"TFT_CONN";;;
6;"J6";"PinSocket_1x05_P2.54mm_Horizontal";1;"ENCODER_CONN";;;
7;"U2";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"MAX6675ISA+";;;
8;"U1";"DIP-6_W7.62mm_LongPads";1;"H11AA1-X007T";;;
9;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
10;"BZ1";"PinHeader_1x02_P2.54mm_Vertical";1;"Buzzer";;;
11;"C1,C5";"C_Elec_4x5.8";2;"4,7u";;;
12;"C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100n";;;
13;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10n";;;
14;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
15;"IC1";"DIP-6_W7.62mm";1;"MOC3020";;;
16;"J1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Fan_CONN";;;
17;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Thermocouple_CONN";;;
18;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4K7";;;
19;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100K";;;
20;"R7,R8,R10,R12,R14,R16";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"1k";;;
21;"Q2";"TO-220-3_Horizontal_TabUp";1;"BT137";;;
22;"Q1";"TO-263-3_TabPin4";1;"IRF540N";;;
23;"J5";"12v220";1;"CONN_AC_to_12v400mA";;;
